Year ,Author ,Paper name ,citation,Domain,Dataset ,Journal ,Conference,Method  and keywords ,Limitations,Advantages
2020,"Matheus Pinheiro Ferreiraa,?
, Danilo Roberti Alves de Almeidab
, Daniel de Almeida Papac
,
Juliano Baldez Silva Minervinod
, Hudson Franklin Pessoa Verase
, Arthur Formighierid
,
Caio Alexandre Nascimento Santosc
, Marcio Aurélio Dantas Ferreiraf
,
Evandro Orfanó Figueiredoc
, Evandro José Linhares Ferreira","Individual tree detection and species classification of Amazonian palms
using UAV images and deep learning",86,DL,Private ,ELS,,"fully convolutional neural network , ",They were misclassified between Butyracea and non-identified palms >18%.,They have collected real images of the forest and have processed the Unmanned Aerial Vehicles (UAV)-borne images and deep learning to classify multiple palm species at the ITC level in the Amazonian forests.
2020,Pralhad Gavali,Bird Species Identification using Deep Learning on GPU platform,27,DL,Caltech-UCSD. Caltech-UCSD Birds 200(CUB- 200- 2011),,EL,Deep Convolutional Neural Networks,"They had a low number of training samples, and it was used with much higher capacity, which decreased the performance for some of the fruits (sour fruits).","Considering the prediction time taken, the model performed very well. For example, it was 20 times faster than ResNet50 and 43 times faster than ResNet152. It could process 64 frames per second."
2020,Jenatte Hariharan,"The Basis for Development of a Foundational Biomarker Reflectance Signature Database System for Plant Cell Identification, Disease Detection, and Classification Purposes",1,DL,Private ,,EL,multivariate analysis KLE,NA,NA
2020,"S. Hernández, J.L. López
","Uncertainty quantification for plant disease detection using Bayesian deep
learning",72,ML,Private ,,O,"SGD , MC dropout, SGLD","SGD and MCD tend to produce overconfident and incorrect predictions whose maximum probabilities tended to be larger than their correct counterparts. On the other hand, SGLD produces unsure outcomes for both the correctly and incorrectly classified samples","For MCD and SGLD methods, the uncertainty predictions for each species and training stage were quantified by the Shannon entropy H of the variational predictive distribution. The best predictions were obtained when the MC dropout methods were used."
2020,"Zhouxin Xi a
, Chris Hopkinson a,*
, Stewart B. Rood b
, Derek R. Peddle a ",See the forest and the trees: Effective machine and deep learning algorithms for wood filtering and tree species classification from terrestrial laser scanning,52,DL& ML,Canadian TLS datasets was funded through the Canada Foundation for Innovation (CFI). ,ELS,,"Deep learning classifiers, namely, VGG, ResNet-50, ResNet-152, Inception-ResNetV2, PointNet, PointNet++, and KdNet were investigated for species classification, and FCN-VGG, ResNet-50, ResNet-152, Inception-ResNet-v2, UNet, DenseNet, PSPNet, Superpoint Graph, and PointCNN for wood classification.",NA,NA
2020,Baizel Kurian Varghese ,"INFOPLANT: Plant Recognition using
Convolutional Neural Networks ",10,DL,Private ,,IE,CNN,NA,NA
2020,"Ahsan Jalala
, Ahmad Salmana,?
, Ajmal Mianb
, Mark Shortisc
, Faisal Shafaita","Fish detection and species classification in underwater environments using
deep learning with temporal information",137,DL,"LifeCLEF 2015 benchmark 
LifeCLEF 2015 : 
",ELS,,combine optical flow and Gaussian mixture models with YOLO deep neural network,NA,NA
2020,"Honghua Jianga,1
, Chuanyin Zhanga,1
, Yongliang Qiaob,?
, Zhao Zhangc
, Wenjing Zhanga
,
Changqing Song","CNN feature based graph convolutional network for weed and crop
recognition in smart farming",109,DL,Private ,ELS,,"Graph Convolutional Network GCN-AlexNet, GCN-VGG16, GCN-ResNet-101",the system is not able to detect the spices when the plants are at their early stages  due to false negative values obtained during experimentation.,The proposed GCN-ResNet-101 approach improved the recognition accuracy of crops and weeds by utilising feature relationships and maximising the efficient use of the limited labelled data. It did this by using the adjacency matrix construction method in the GCN and Euclidean distance based adjacency matrix to compute distances of each two vertices in the graph.
2020,"Zhiyong Ju, Yongjie Xue",Fish species recognition using an improved AlexNet model ,23,DL,LifeClef2019 fish dataset and QUT fish dataset,ELS,,AlexNet ,NA,NA
2020,Aravind Krishnaswamy Rangarajan & Raja Purushothaman*,"Disease Classifcation in Eggplant
Using Pre-trained VGG16 and
MSVM",120,DL,Private ,N,,Pre-trained VGG16 and Multi-class Support Vector Machine MSVM,NA,NA
2020,"Sue Han Leea,?
, Hervé Goëaua,b
, Pierre Bonneta,b
, Alexis Joly",New perspectives on plant disease characterization based on deep learning,161,DL,Plant Village ,ELS,,": 1) pre training tasks: the plant specialized domain and general object domain, and the (2) network architectures: VGG16 (16 layers), GoogLeNetBN (34 layers) and InceptionV3 (48 layers)",The work can also be elaborated by using a large number of images. The dataset was restricted to only 300 images.,NA
2020,Mary Sobha P.G.,"Deep Learning for Plant Species Classification
Survey",6,DL,"Pl@ntLeaves,folio,Leafsnap,Flavia, PlantVillage , MalayaKew , ImageCLEF 2015 datsets.

",,IE,"studied AlexNet , GoogleNet, VGGNet, ResNet, MobileNet","The Flavia dataset was so refined, which led to a decrease in accuracy using the KNN classifier for a few species.",The proposed method did not require human intervention; it works without rigorous experimental equipment.
2020,"Bodi Surya Pratap Chandra Kishore a
, Amit Kumar a,f,**,y
, Purabi Saikia b,f,*,y
, Nikhil Lele c
,
Arvind Chandra Pandey a
, Parul Srivastava d,f
, Bimal Kumar Bhattacharya c
,
Mohamed Latif Khan e,f","Major forests and plant species discrimination in Mudumalai
forest region using airborne hyperspectral sensing",16,DL,AVIRIS-NG imagery: Airborne Visible/Infrared Imaging Spectrometer Next Generation,,O,SVM ,The system utilized relatively more computational power as it involves complex machine learning tools as compared to the conventional computer vision and image processing approaches.,Airborne Visible InfraRed Imaging Spectrometer-Next Generation (AVIRIS-NG) with the SVM classification aid in mapping different land surfaces. They have used Airborne visible images rather than the traditional image dataset.
2020,"Rama Rao Nidamanuri
","Hyperspectral discrimination of tea plant varieties using machine learning, and
spectral matching methods",8,ML,Private ,,O,": k-nearest neighbourhood classifier (k-NN), linear discriminant analysis (LDA), support vector machines (SVM), normalized spectral similarity score (NS3 ), maximum likelihood classifier (MLC), and artificial neural networks (ANNs), non-parametric MANOVA.",NA,NA
2020,"Noor M. AL-Shakarji‡†?, Yasmin M. Kassim?†?, Kannappan Palaniappan†","Unsupervised Learning Method for Plant and Leaf
Segmentation
",19,DL,Private ,,IE,"foreground background segmentation : Expectation Maximization (EM) and K-means, Leaf detection :using watershed and morphological operations.",NA,NA
2020,"?Denise Pechebovicz, ?Sthefanie Premebida, ?Vinicios Soares, ?Thiago Camargo,","Plants recognition using embedded Convolutional
Neural Networks on Mobile devices",5,DL,Mobilenet v2 ,,IE,CNN,The classification process can be elaborated by exploring other classifiers.,They have used the hybridization of methods for segmentation and also used the stem link algorithm identified plants species based on the stems. 
2020,"Kalananthni Pushpanathan1
 · Marsyita Hanaf1  · Syamsiah Mashohor1  ·
Wan Fazilah Fazlil Ilahi2",Machine learning in medicinal plants recognition: a review,32,DL,"ImgeCLEF12 –ImageCLEF 17, Flavia, ICL, Swedish, Leafsnap",N,,"Classifer :KNN,ANN,PNN,SGD,SVM,DTLDA,RF",NA,NA
2020,"Anubha Pearline Sundara Sobitha Raj1
, Sathiesh Kumar Vajravelu","DDLA: dual deep learning architecture for
classification of plant spec",32,ML,Machine learning in medicinal plants recognition a review 2020,,IE,"DDLA?+?LR, 3. Dataset name: The dataset considered in the studies was standard (Flavia, Folio, and Swedish Leaf) and custom collected (Leaf-12) dataset.",NA,NA
2020,"S.Ramya,","Identification of Plant Species by Embedded
Technology Using MatLab 
",1,ET,Private ,,IE,": FAST & FREAK Algorithms in Selected Object Tracking, CANNY’S EDGE DETECTION",NA,NA
2020,"Seyed Iman Saedi a,?
, Hossein Khosravi b
","A deep neural network approach towards real-time on-branch fruit
recognition for precision horticulture",42,DL,Private ,ELS,,"RESNET50,152,VGG11,Darknet 53finrtuned , Darknet 53 trained form scratch",Their proposed model was 20 times faster than the ResNet50 and 43 times faster than ResNet152.,Their proposed model was 20 times faster than the ResNet50 and 43 times faster than ResNet152.
2020,Siddharth Singh Chouhan*,"A Data Repository of Leaf Images: Practice towards
Plant Conservation with Plant Pathology",52,DL,"Mangifera indica (Mango) ,Alstonia Scholaris (Saptaparni), Psidium guajava (Guava) Aegle marmelos (Bael), Syzgium cumini (Jamun), Jatropha curcas L. (Jatropha), Pongamia Pinnata L. (Sukh chain), Ocimum basilicum (Basil), 10) Punica granatum L. (Pomegranate) 11) Citrus limon ",,IE,Data collection,NA,NA
2020,"Jing Wei Tan , Siow-Wee Chang , Sameem Abdul-Kareem, Hwa Jen Yap , and Kien-Thai Yong","Deep Learning for Plant Species Classification
Using Leaf Vein Morphometric",151,DL,"MalayaKew, Flavia and Swedish Leaf Dataset",,IE,"Support Vector Machine (SVM), Artificial Neural Network (ANN), k-Nearest-Neighbor (k-NN), Na€?ve-Bayes (NB), and CNN.",NA,various models were compared  with the dataset on which it was trained 
2020,"Peter Thompson
",Image identification of Protea species with attributes and subgenus scaling,,DL,iNaturalist: ,,IE,Attributes  with CNN-A and Subgenus scaling prior-full model ,NA,NA
2020,"Mesut Tog?açar a,?
, Burhan Ergen b
, Zafer Cömert c","Classification of flower species by using features extracted from the
intersection of feature selection methods in convolutional neural
network models",49,DL,Flower dataset,ELS,,": ResNet-50, AlexNet, GoogLeNet and VGG-16 model.",the work can also be explored with different datasets using different  attention modules.,"they performed 3 experiment feature extraction using 4 models, features were selected as best to worst using  f-regression and MIC methods and best features were extracted which leads to less misclassification "
2020,"SébastienVillon1,2*, David Mouillot1,5, Marc Chaumont2,3, Gérard Subsol2
,
Thomas Claverie1,4 & SébastienVilléger1","A new method to control error
rates in automated species
identifcation with deep learning
algorithms",27,DL,Private ,N,,CNN,The experiment can also be explored with the use of compound images than Simple images.,A new approach of error rate detection was implemented. The error rate formulae were implemented for maintaining accuracy and decreasing loss.
2020,"Bin Wang a,b,*
, Yongsheng Gao b
, Xiaohui Yuan c
, Shengwu Xiong c
,
Xianzhong Feng d
",From species to cultivar: Soybean cultivar recognition using joint leaf image patterns by multiscale sliding chord matching,17,DL,SoyCultivar200,ELS,,"Multiscale Sliding Chord Matching (MSCM) method, SVM",NA,NA
2020,"Daniel Ward, Peyman Moghadam ","Scalable learning for bridging the species gap in image-based plant
phenotyping",22,DL,Komatsuna dataset ,ELS,,"UPGen,",: only komatsuna and  capsicum leaves were used which can also be explored to other veggies leaves  .,focus was given on task of leaf instance segmentation to demonstrate the effectiveness of synthetic data in automating phenotypic measurements such as leaf area which is new approach .
2020,"Kun Hua,?
, Guy Colemanb
, Shan Zengc
, Zhiyong Wanga
, Michael Walshb",Graph weeds net: A graph-based deep learning method for weed recognition,59,DL,DeepWeeds,ELS,,Graph Weeds Net(GWN),NA,NA
2020,CHENGZHUAN YANG 1 AND HUI WE,"Plant Species Recognition Using
Triangle-Distance Representation",19,DL,"Swedish, Smithsonian, Flavia, and ImageCLEF2012, MPEG-7 shape dataset ",,IE,triangle-distance representation (TDR),"The study could also be explored by providing cues for finding the relationship between petiole to apex, tooth margin edges, eccentricity etc.","They collected the leaves from Swedish, Smithsonian, Flavia, and ImageCLEF2012, MPEG-7 shape dataset."
2020,"Shanwen Zhang a
, Chuanlei Zhang b,?
, Xuqi Wang a
","Plant species recognition based on global–local maximum margin
discriminant projection",10,DL,ICL datasets ,ELS,,: global–local maximum margin discriminant projection (GLMMDP)  ,Results do not show the difference between the intra class and inter class species for certain images.,They have used hybrid species of plants for RNA recognition and used ensemble learning for feature fusion and extraction. It is used for the mosses and algae.
2020,"Haixi Zhanga
, Zhenzhong Kuang b
, Xianlin Penga
, Guiqing Hea
, Jinye Penga,?
, Jianping Fan","Aggregating diverse deep attention networks for large-scale plant
species identification",9,DL,Orchid2608,ELS,,an attention-based deep hierarchical multi-task learning (AHMTL),"The segmentation background was simple, and the leaf recognition in the natural state and the complex background required further study. More exploration is required to achieve a quantitative comparison between the plant leaf species systems and the leaf recognition algorithm.",NA
2020,"Bambil D, Pistori H, Bao F, Weber V, Alves FM, Gonçalves EG, de Alencar Figueiredo LF, Abreu UG, Arruda R, Bortolotto IM","Plant species identifcation using color learning resources, shape, texture, through machine learning and artifcial neural networks",27,DL,Private ,SP,,"ML,SVM,RF,ANN, Adaboost ","In the proposed system, they have used a scanner, which increased the cost of the product.","Feature fusion strategies were used, which increased the Genuine Acceptance Rate (GAR) up to 7% when compared to the single feature extraction method."
2020,Bisen D.,Deep convolutional neural network based plant species recognition through features of leaf,39,DL,swedish,SP,,CNN,"They had a low number of training samples, and it was used with much higher capacity, which decreased the performance for some of the fruits (sour fruits).","Considering the prediction time taken, the model performed very well. For example, it was 20 times faster than ResNet50 and 43 times faster than ResNet152. It could process 64 frames per second."
2020,"Figueroa-Mata G, Mata-Montero E.",Using a Convolutional Siamese Network for Image-Based Plant Species Identification with Small Datasets,28,DL,"flavia,CRLEAVES dataset ",O,,convolutional Siamese network (CSN),"Only 320 random samples were selected for the training of the model.

",NA
2020,Huixian J.,The Analysis of Plants Image Recognition Based on Deep Learning and Artificial Neural Network,55,DL,Private ,IE,,"KNN-based neighbourhood classification, Kohonen network,SVM, BP neural network .","The leaf recognition algorithm is still exploratory, and there are no unified evaluation criteria; and thus, it is difficult to achieve quantitative comparisons between the plant leaf species systems. The leaf recognition algorithm needs to be further developed.","They have used several algorithms for image processing, which improved the results."
2021,Chengzhuan Yang,Plant leaf recognition by integrating shape and texture features,46,DL,,ELS,,"multiscale triangle descriptor,LBP-HF)",The feature design could not be learned automatically and considered only the feature and shape parameters.,"They collected the leaves from Swedish, Smithsonian, Flavia, and ImageCLEF2012, MPEG-7 shape dataset."
2021,"Xiaojun Jin, Jun Che, Yong Chen",Weed Identification using Deep Learning and Image Processing in Vegetable Plantation,92,DL,Private ,IE,,Genetic Algorithms (GAs),"The matcher algorithm increased its accuracy after 2 stages and on the plant species, particularly",They got a hike of 4% on the calculated results as compared to other methods with the help of a color histogram.
2021,"Yujing Liu a*, Renchuan Hub , Songsong Shen a, Zheng Zhang a, Jing Zhang a, Xiaoling Song a , Sheng Qiang a*","Plant diversity in herbal tea and its traditional knowledge in Qingtian County, Zhejiang Province, China",7,DL,Private ,ELS,,deep cnn,The work could be extended by applying the classification of the unsupervised remote sensing images and image classification through convolutional neural networks,"The performance of the D-Leaf, MalayaKew, Flavia, and Swedish datasets was validated properly.  "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,IEEE,IE,,,
,,,,,,ELEsivier ,ELS,,,
,,,,,,Springer ,SP,,,
,,,,,,others ,o,,,
,,,,,,hindavi,H,,,
,,,,,,Sci. direct ,SD,,,
